380,0.0036688
384,0.0035792
388,0.0037948
392,0.004024
396,0.004848
400,0.00576
404,0.007936
408,0.01228
412,0.020228
416,0.033756
420,0.05716
424,0.0942
428,0.1454
432,0.20108
436,0.27668
440,0.39484
444,0.524
448,0.5892
452,0.5664
456,0.5232
460,0.5296
464,0.5692
468,0.6
472,0.6008
476,0.5704
480,0.5292
484,0.5156
488,0.5352
492,0.574
496,0.6068
500,0.6232
504,0.6296
508,0.6384
512,0.6552
516,0.6704
520,0.6736
524,0.6608
528,0.632
532,0.598
536,0.5672
540,0.5404
544,0.524
548,0.5156
552,0.5152
556,0.5244
560,0.5412
564,0.5636
568,0.5872
572,0.61
576,0.6284
580,0.6412
584,0.6464
588,0.6432
592,0.6356
596,0.62
600,0.6012
604,0.58
608,0.5608
612,0.5452
616,0.5352
620,0.5356
624,0.5464
628,0.5592
632,0.5456
636,0.4708
640,0.3806
644,0.3062
648,0.26092
652,0.2264
656,0.19908
660,0.17752
664,0.15684
668,0.14028
672,0.12404
676,0.1106
680,0.09764
684,0.087
688,0.07704
692,0.0684
696,0.06048
700,0.05336
