Time, Regions, Area
09,33,206,33026.9
09,34,180,37092.73333333333
09,35,159,21364.633333333335
09,36,161,31011.1
09,37,187,44220.8
09,38,146,31699.55
09,39,143,20291.333333333332
09,40,173,33015.3
09,41,167,48596.65
09,42,141,30710.6
09,43,163,47626.7
09,44,110,12171.683333333332
09,45,127,17601.166666666668
09,46,131,26638.85
09,47,156,15736.633333333333
09,48,146,13894.533333333333
09,49,121,16067.333333333334
09,50,86,7979.583333333333
09,51,114,12290.733333333334
09,52,124,37608.9
09,53,154,37787.65
09,54,160,17703.583333333332
09,55,140,27553.8
09,56,152,20665.766666666666
09,57,143,17627.9
09,58,122,13634.416666666666
09,59,147,32775.71666666667
10,00,124,24091.033333333333
10,01,151,42245.75
10,02,140,33444.05
10,03,106,22598.65
10,04,80,8983.816666666668
10,05,103,19997.666666666668
10,06,97,18840.1
10,07,86,19404.15
10,08,88,16876.366666666665
10,09,75,26426.716666666667
10,10,84,23232.116666666665
10,12,62,20284.033333333333
10,13,81,28149.533333333333
10,14,36,2520.65
10,15,25,730.7833333333333
10,16,28,4840.0
10,17,45,4314.283333333334
10,18,47,8072.516666666666
10,19,66,29157.45
10,20,77,35895.21666666667
10,21,84,33153.03333333333
10,22,70,27951.0
10,23,64,21683.2
10,24,123,42325.316666666666
10,25,83,4859.733333333334
10,26,101,31795.366666666665
10,27,119,31596.5
10,28,97,26642.833333333332
10,29,131,46854.566666666666
10,30,93,28175.4
10,31,112,22738.466666666667
10,32,118,24905.25
10,33,106,33818.666666666664
10,34,74,12441.733333333334
10,35,95,19988.716666666667
10,36,118,24517.666666666668
10,37,112,8850.033333333333
10,38,137,37437.566666666666
10,39,135,36733.98333333333
10,40,149,18440.666666666668
10,41,171,48192.61666666667
10,42,145,29307.116666666665
10,43,189,43361.316666666666
10,44,174,53731.63333333333
10,45,124,18149.5
10,46,154,29026.166666666668
10,47,102,10999.783333333333
10,48,150,25729.233333333334
10,49,149,41345.0
10,50,130,38425.816666666666
10,51,149,22218.216666666667
10,52,156,41526.166666666664
10,53,120,14938.083333333334
10,54,160,40103.78333333333
10,55,171,32049.233333333334
10,56,167,42381.51666666667
10,57,126,26767.516666666666
10,58,93,17519.733333333334
10,59,119,45876.833333333336
11,00,181,135211.38333333333
11,01,182,111119.63333333333
11,02,140,25425.416666666668
11,03,177,58077.98333333333
11,04,174,60596.25
11,05,158,60031.416666666664
11,06,174,68289.16666666667
11,07,180,46368.95
11,08,167,37292.416666666664
11,09,159,40810.666666666664
11,10,153,35768.583333333336
11,11,128,29210.316666666666
11,12,155,35319.65
11,13,165,27021.15
11,14,148,30875.066666666666
11,15,161,26983.233333333334
11,16,153,26039.433333333334
11,17,173,31016.066666666666
11,18,140,24847.25
11,19,141,23166.683333333334
11,20,151,33891.583333333336
11,21,163,42669.45
11,22,139,30213.633333333335
11,23,131,28703.483333333334
11,24,117,23943.366666666665
11,25,143,32667.033333333333
11,26,140,22997.0
11,27,116,27236.716666666667
11,28,130,35442.433333333334
11,29,156,41216.21666666667
11,30,133,23134.333333333332
11,31,147,36195.48333333333
11,32,159,33001.78333333333
11,33,147,47567.38333333333
11,34,157,27022.45
11,35,110,21231.583333333332
11,36,138,33124.15
11,37,113,15759.433333333332
11,38,92,10579.933333333332
11,39,94,7761.433333333333
11,40,75,10439.716666666667
11,41,91,16419.1
11,42,54,6220.883333333333
11,43,53,3948.483333333333
11,44,59,5424.95
11,45,7,0.0
11,46,12,0.0
11,47,7,0.0
11,48,7,0.0
11,49,16,1014.45
11,50,28,819.9666666666667
11,51,33,2068.0833333333335
11,52,50,6178.133333333333
11,53,60,11448.05
11,54,51,7281.1
11,55,20,3046.05
11,56,23,1256.3666666666666
11,57,55,6944.7
11,58,44,4794.55
11,59,49,5505.75
12,00,42,4515.733333333334
12,01,52,7820.35
12,02,98,14563.75
12,03,91,25107.816666666666
12,04,115,23989.8
12,05,117,24110.383333333335
12,06,129,24185.15
12,07,123,10726.933333333332
12,08,142,23424.666666666668
12,09,121,15536.966666666667
12,10,116,16268.516666666666
12,11,180,64104.916666666664
12,12,173,47598.7
12,13,186,58412.35
12,14,182,27722.25
12,15,147,36947.86666666667
12,16,181,44698.1
12,17,113,9592.2
12,18,122,22148.983333333334
12,19,118,23725.933333333334
12,20,116,21089.3
12,21,146,35033.55
12,22,127,13424.4
12,23,89,7740.533333333334
12,24,93,16097.616666666667
